"family";"diet";"Pronotum";"Morph"
1;"high";3;0
1;"high";3.05;0
1;"high";3.05;1
1;"high";3.1;0
1;"high";3.15;0
1;"high";3.2;1
1;"high";3.2;1
1;"high";3.2;1
2;"high";2.85;0
2;"high";2.9;0
2;"high";3;0
2;"high";3;1
2;"high";3.05;0
2;"high";3.05;0
2;"high";3.1;0
2;"high";3.1;0
2;"high";3.15;0
2;"high";3.15;1
3;"high";2.9;0
3;"high";2.95;0
3;"high";3;0
3;"high";3;0
3;"high";3.1;1
3;"high";3.15;0
3;"high";3.15;1
3;"high";3.2;0
3;"high";3.2;1
4;"high";2.9;0
4;"high";2.9;0
4;"high";3;1
5;"high";2.7;0
5;"high";2.9;0
5;"high";3;0
5;"high";3.05;0
5;"high";3.15;0
6;"high";3;0
6;"high";3;0
6;"high";3.15;0
7;"high";2.9;0
7;"high";2.9;0
7;"high";3.1;0
7;"high";3.15;0
7;"high";3.2;0
7;"high";3.2;0
7;"high";3.2;1
7;"high";3.2;1
7;"high";3.3;1
8;"high";2.9;0
8;"high";3;0
8;"high";3.05;0
8;"high";3.1;0
8;"high";3.1;0
8;"high";3.1;1
8;"high";3.15;0
9;"high";2.9;0
9;"high";3.15;0
9;"high";3.2;0
9;"high";3.25;0
9;"high";3.25;1
9;"high";3.25;1
10;"high";2.9;0
10;"high";3;0
10;"high";3.05;0
10;"high";3.05;0
10;"high";3.1;0
10;"high";3.2;0
10;"high";3.2;0
10;"high";3.25;1
10;"high";3.35;1
21;"high";3;0
21;"high";3.05;0
21;"high";3.05;0
21;"high";3.05;0
21;"high";3.1;0
21;"high";3.1;1
21;"high";3.15;0
21;"high";3.15;0
21;"high";3.15;1
21;"high";3.2;1
22;"high";2.4;0
22;"high";2.85;0
22;"high";2.9;0
22;"high";2.95;0
22;"high";3.05;0
22;"high";3.05;0
22;"high";3.1;1
22;"high";3.2;1
23;"high";3.05;0
23;"high";3.05;0
23;"high";3.1;0
24;"high";3;0
24;"high";3;0
24;"high";3.1;0
24;"high";3.1;0
24;"high";3.15;0
24;"high";3.15;0
24;"high";3.15;0
24;"high";3.15;1
25;"high";3;0
25;"high";3;0
25;"high";3.1;0
25;"high";3.15;0
25;"high";3.15;0
27;"high";2.65;0
27;"high";2.7;0
27;"high";2.85;0
27;"high";3.05;0
28;"high";2.9;0
28;"high";2.9;0
28;"high";2.9;0
28;"high";3;0
28;"high";3.05;0
28;"high";3.05;0
29;"high";2.96;0
29;"high";3;0
29;"high";3.1;1
29;"high";3.15;0
29;"high";3.15;0
29;"high";3.6;1
30;"high";3;0
30;"high";3;0
30;"high";3.05;0
30;"high";3.1;1
30;"high";3.1;1
30;"high";3.15;1
30;"high";3.2;0
30;"high";3.2;0
30;"high";3.2;0
30;"high";3.2;1
30;"high";3.2;1
30;"high";3.25;0
30;"high";3.25;1
30;"high";3.3;0
41;"high";2.85;0
41;"high";2.95;0
41;"high";2.95;0
41;"high";3;0
41;"high";3;0
41;"high";3.05;0
41;"high";3.1;0
41;"high";3.1;0
41;"high";3.15;0
41;"high";3.2;1
42;"high";2.85;0
42;"high";2.85;0
42;"high";2.9;0
42;"high";3;0
42;"high";3;0
42;"high";3;1
42;"high";3.15;0
42;"high";3.15;1
42;"high";3.2;1
43;"high";2.65;0
43;"high";2.8;0
43;"high";2.8;0
43;"high";2.85;0
43;"high";3;0
43;"high";3;0
43;"high";3;0
43;"high";3.025;0
43;"high";3.05;0
43;"high";3.1;0
43;"high";3.15;0
43;"high";3.2;0
44;"high";2.9;0
44;"high";2.95;0
44;"high";3.4;1
44;"high";3.4;1
45;"high";2.7;0
45;"high";2.9;0
45;"high";3.05;0
45;"high";3.05;1
45;"high";3.1;0
45;"high";3.15;0
45;"high";3.25;0
45;"high";3.25;1
46;"high";2.9;0
46;"high";2.95;0
46;"high";3;0
46;"high";3;0
46;"high";3;0
46;"high";3.05;0
46;"high";3.1;0
46;"high";3.2;0
47;"high";2.8;0
47;"high";2.95;0
47;"high";3;0
48;"high";2.9;0
48;"high";2.9;0
48;"high";3.25;0
49;"high";2.9;0
49;"high";3;0
49;"high";3;0
49;"high";3.05;1
49;"high";3.1;0
49;"high";3.3;1
50;"high";2.8;0
50;"high";2.8;0
50;"high";2.95;0
62;"high";2.85;0
62;"high";3.1;1
62;"high";3.1;1
62;"high";3.15;0
62;"high";3.15;1
62;"high";3.25;0
62;"high";3.25;0
