"family";"diet";"Pronotum";"Morph"
11;"high";2.7;0
11;"high";3.1;0
11;"high";3.15;0
11;"high";3.15;0
11;"high";3.2;1
13;"high";2.9;1
13;"high";2.9;1
13;"high";2.9;1
13;"high";2.925;1
13;"high";3;0
13;"high";3.05;0
13;"high";3.05;1
13;"high";3.075;1
13;"high";3.2;1
14;"high";2.8;0
14;"high";2.9;0
14;"high";3;0
14;"high";3;1
14;"high";3.05;1
14;"high";3.05;1
14;"high";3.05;1
14;"high";3.05;1
14;"high";3.1;0
15;"high";2.8;0
15;"high";2.9;0
15;"high";2.9;0
15;"high";2.95;0
16;"high";2.75;0
16;"high";2.85;0
16;"high";2.9;0
16;"high";2.9;0
16;"high";2.95;1
16;"high";3;0
16;"high";3;0
16;"high";3;0
16;"high";3;1
16;"high";3;1
16;"high";3.05;0
16;"high";3.05;1
16;"high";3.1;1
16;"high";3.15;1
16;"high";3.2;1
17;"high";2.9;1
17;"high";3;0
17;"high";3.05;0
17;"high";3.05;0
17;"high";3.05;1
17;"high";3.05;1
17;"high";3.05;1
17;"high";3.05;1
17;"high";3.1;1
17;"high";3.15;0
17;"high";3.15;1
18;"high";2.7;0
18;"high";2.8;0
18;"high";3;1
19;"high";2.95;0
19;"high";3;0
19;"high";3;0
19;"high";3.1;1
19;"high";3.15;1
19;"high";3.2;1
19;"high";3.2;1
19;"high";3.25;1
19;"high";3.3;0
19;"high";3.3;1
20;"high";2.8;0
20;"high";2.8;0
20;"high";2.8;0
20;"high";2.8;0
20;"high";2.8;0
20;"high";2.85;0
20;"high";2.9;0
20;"high";2.9;1
20;"high";3.1;0
31;"high";2.95;1
31;"high";2.95;1
31;"high";2.95;1
31;"high";3.1;1
31;"high";3.15;1
32;"high";2.75;0
32;"high";2.9;0
32;"high";3;0
32;"high";3.05;0
32;"high";3.05;0
32;"high";3.3;1
32;"high";3.3;1
33;"high";2.9;0
33;"high";2.9;1
33;"high";2.95;0
33;"high";3;1
34;"high";2.9;0
