"ID";"Sire";"Dam";"Pronotum";"Morph"
259;1;85;1.96;0
260;1;85;1.96;0
261;1;86;2;0
262;1;86;2.04;0
263;1;86;2.22;0
264;1;86;2.26;0
265;1;87;2.19;1
266;1;87;2.15;0
267;1;87;2.15;0
268;1;87;2.19;0
269;1;87;2.22;0
270;1;87;1.87;0
271;1;87;1.9;0
272;1;87;2.06;0
273;1;87;2.1;0
274;1;87;2.13;0
275;1;87;2.02;0
276;1;87;2.1;0
277;1;87;2.11;0
278;1;87;2.18;0
279;1;87;1.9;0
280;1;87;2.07;0
281;1;87;2.12;1
282;1;87;2.14;1
283;2;88;1.94;0
284;2;88;2.05;0
285;3;89;2.03;0
286;3;89;2.08;0
287;3;89;2.11;0
288;3;89;2.11;0
289;3;89;2.14;0
290;3;89;2.15;0
291;3;89;2.31;1
292;3;89;2.01;0
293;3;89;2.11;0
294;3;89;2.13;0
295;3;89;2.22;0
296;3;89;2.24;0
297;3;89;2.24;0
298;3;89;2;0
299;3;89;2.1;0
300;3;89;2.17;0
301;3;89;2.21;0
302;3;90;2.13;0
303;3;90;2.2;1
304;4;91;1.74;1
305;4;91;2.04;1
306;4;91;2.09;0
307;4;91;2.1;1
308;4;91;2.13;1
309;4;91;2.15;0
310;4;91;2.05;0
311;4;91;2.14;0
312;4;91;2.19;1
313;4;91;2.32;1
314;4;91;2.04;0
315;4;91;2.19;0
316;4;91;2.22;1
317;4;91;1.85;0
318;4;91;2.04;0
319;4;91;2.06;0
320;4;91;2.11;1
321;4;91;2.12;0
322;4;91;2.16;0
323;4;91;2.2;1
324;5;92;2.22;0
325;5;93;1.82;0
326;5;93;1.89;0
327;5;93;2.08;0
328;5;93;1.93;1
329;5;93;1.94;0
330;5;93;1.95;0
331;5;93;2.02;0
332;6;94;2.02;0
333;6;94;2.06;0
334;6;95;1.89;0
335;6;95;1.96;0
336;6;95;2.04;0
337;6;95;2.11;1
338;6;95;1.93;0
339;6;95;1.96;0
340;6;95;2.07;1
341;6;95;2.07;1
342;6;95;1.9;0
343;6;95;1.95;0
344;6;95;2.05;0
345;6;95;1.82;0
346;6;95;2.01;0
347;6;95;2.03;0
348;7;96;1.86;0
349;7;96;1.96;0
350;7;97;2.11;0
351;7;97;2.26;1
352;7;97;2.26;1
353;7;97;2.3;1
354;7;97;2.18;1
355;8;98;2.04;0
356;8;98;2.14;0
357;8;98;2.21;0
358;8;98;2.36;0
359;8;98;2.36;0
360;8;98;2.32;0
361;9;99;2.11;0
362;9;99;2.12;0
363;9;99;2.16;0
364;9;99;2.3;0
365;9;100;1.95;0
366;9;100;2.06;0
367;9;100;1.93;0
368;9;100;1.93;0
369;9;100;1.93;0
370;10;101;2.14;0
371;10;101;2.18;0
372;10;101;2.32;0
373;10;101;2.32;0
374;11;102;2.07;0
375;11;102;2.14;0
376;11;102;2.18;0
377;11;102;1.78;0
378;11;102;1.86;0
379;11;102;1.9;0
380;11;102;1.93;0
381;11;102;1.96;0
382;11;102;2.03;0
383;11;102;1.93;0
384;11;102;1.82;0
385;11;103;2.07;0
386;11;103;2.18;0
387;11;103;2.25;0
388;11;103;2.18;0
389;11;103;2.02;0
390;11;103;2.04;0
391;11;103;1.93;0
392;11;103;2.15;0
393;11;103;2.3;0
394;11;104;2.03;0
395;11;104;2.03;0
396;11;104;2.07;0
397;12;105;1.96;0
398;12;105;2.11;0
399;12;105;2.15;0
400;12;106;1.96;0
401;12;106;2;0
402;12;106;2.04;0
403;12;106;2.19;1
404;13;107;2.11;0
405;13;107;2.25;0
406;13;107;2.25;0
407;13;107;2.32;0
408;13;108;2.04;0
409;14;109;2.03;0
410;14;110;2.28;0
411;14;110;2.11;0
412;14;111;2.19;0
413;14;112;2.04;0
414;15;113;1.98;0
415;15;113;2;0
416;15;113;2.04;1
417;15;113;2.05;0
418;15;113;2.09;0
419;15;113;2.16;0
420;15;113;2.16;1
421;15;114;2.07;0
422;15;115;2.24;1
423;16;116;1.98;0
424;16;116;2.06;0
425;16;116;2.06;0
426;16;117;2.07;0
427;16;117;2.21;0
428;16;117;2.25;0
429;16;117;2.25;0
430;16;117;2.14;0
431;16;117;2.18;0
432;16;117;2.18;0
433;16;117;2.25;0
434;17;118;1.75;0
435;17;119;2.07;0
436;17;119;2.19;0
437;17;119;2.22;0
438;17;119;2.22;0
439;17;119;2.03;0
440;17;119;2.14;0
441;17;119;2.15;1
442;17;119;2.23;0
443;17;119;2.23;1
444;17;119;2.03;0
445;17;119;2.03;0
446;17;119;2.07;0
447;17;119;2.13;0
448;17;119;2.13;0
449;17;119;2.08;0
450;17;119;2.15;0
451;17;119;2.19;0
452;17;119;2.19;1
453;17;119;2.2;0
454;17;119;1.93;0
455;18;120;2.32;0
456;18;120;2.36;0
457;19;121;2.07;0
458;19;122;1.96;0
459;20;123;1.93;0
460;20;123;2.06;0
461;21;124;1.92;0
462;21;124;2.05;0
463;21;124;2.06;0
464;21;125;2;0
465;21;125;2.07;0
466;21;125;2.11;0
467;21;125;2.15;0
468;21;125;2.15;0
469;21;125;2.15;0
470;21;125;2.22;0
471;21;125;1.8;0
472;21;125;1.99;0
473;21;125;2.04;0
474;21;125;2.05;0
475;21;125;2.11;0
476;21;125;1.95;0
477;21;125;2.02;0
478;21;125;2.05;0
479;21;125;2.16;0
480;21;125;2.16;0
481;21;125;2.18;0
482;21;125;1.92;0
483;22;126;1.79;0
484;22;126;1.81;0
485;23;127;2.04;0
486;23;127;2.15;1
487;23;127;2.22;0
488;23;127;2.3;1
489;23;127;2.01;0
490;23;127;2.04;0
491;23;127;2.04;0
492;23;127;2.08;0
493;23;127;2.1;0
494;23;127;2.12;0
495;23;127;2.13;1
496;23;127;2.29;1
497;23;127;2.08;0
498;23;127;2.09;0
499;23;128;2.03;0
500;23;128;2.16;0
501;23;128;2.17;0
502;23;128;2.17;0
503;23;128;2.18;1
504;23;128;2.23;0
505;23;128;2.26;0
506;23;128;2.11;0
507;23;128;2.2;0
508;24;129;2.22;0
509;24;129;1.92;0
510;24;129;1.95;0
511;24;129;2.14;0
512;24;130;2.11;0
513;24;130;2.15;0
514;25;131;1.95;0
515;25;131;2.06;0
516;25;131;2.08;0
517;25;131;2.1;0
518;25;131;2.1;0
519;25;131;2.16;0
520;25;132;2.14;0
521;25;132;2.21;0
522;25;132;2.21;1
523;25;133;1.92;0
524;25;133;1.93;0
525;25;133;2.02;0
526;25;133;2.04;0
527;25;133;1.89;0
528;25;133;1.89;0
529;25;133;1.89;0
530;25;133;2;0
531;25;133;1.93;0
532;25;133;2;0
533;25;133;2.02;0
534;25;133;2.03;0
535;25;133;2.04;0
536;26;134;1.77;0
537;26;134;2.01;0
538;26;134;1.75;0
539;26;134;2;0
540;26;134;2.04;0
541;26;135;1.91;0
542;26;135;2.11;0
543;26;135;2.21;1
544;26;136;1.99;0
545;26;136;2.08;0
546;26;136;2.13;0
547;26;136;2.15;1
548;26;136;2.2;1
549;26;136;2.1;1
550;26;136;2.16;1
551;27;137;2;0
552;27;137;2.04;0
553;27;137;2.15;0
554;27;137;1.81;0
555;27;137;1.85;0
556;27;137;1.93;0
557;27;138;2.22;0
558;28;139;2.15;1
559;28;139;2.15;1
560;29;140;2.11;0
561;29;140;2.22;0
562;29;141;2.16;0
563;30;142;2.11;0
564;30;142;2.19;0
565;30;142;2.22;0
566;30;142;2;0
567;30;142;2.07;0
568;30;142;2.04;0
569;30;142;2.05;0
570;31;143;1.74;0
571;31;143;1.83;0
572;31;143;2.14;0
573;31;143;2.21;0
574;31;143;2;0
575;31;144;2.07;0
576;31;144;2.11;0
577;31;144;2.19;0
578;31;145;2.21;0
579;31;145;2.25;0
580;31;145;2.32;0
581;31;145;2.19;0
582;31;145;2.37;0
583;31;145;2.37;0
584;31;145;2.37;1
585;31;145;1.96;0
586;31;145;2.15;0
587;31;145;2.22;0
588;31;145;2.22;0
589;31;145;2.06;0
590;31;145;2.16;0
591;31;146;2;0
592;31;146;2.15;0
593;31;146;2.07;0
594;31;146;2.16;0
595;31;146;2.17;0
596;31;146;2.28;1
597;31;146;2.3;1
598;31;146;2.04;0
599;31;146;2.05;0
600;31;146;2.18;0
601;31;146;1.96;0
602;31;146;2.22;1
603;32;147;2.07;0
604;32;147;2.13;0
605;32;147;2.14;0
606;32;147;2.21;1
607;32;147;1.86;0
608;32;147;2;0
609;32;147;2;0
610;32;147;2.03;0
611;32;147;2.18;0
612;32;147;2;0
613;32;147;2.07;0
614;32;147;1.99;0
615;32;147;2.04;0
616;32;147;2.15;0
617;32;148;2.14;0
618;32;148;2.21;1
619;32;148;2.12;0
620;32;148;2.17;0
621;33;149;2.25;1
622;33;149;2.04;0
623;33;149;2.18;1
624;33;149;2.22;0
625;33;150;2.13;0
626;33;150;2.13;0
627;33;150;2.19;1
628;33;150;2.24;1
629;33;150;2.1;0
630;33;150;2.12;1
631;33;150;2.19;0
632;33;150;2.31;1
633;34;151;2.22;0
634;34;152;2.29;0
