"ID";"Sire";"Dam";"Pronotum";"Morph"
195;1;69;1.85;0
196;1;69;2.07;0
197;2;70;1.74;0
198;2;70;1.8;0
199;2;70;1.85;0
200;2;70;1.93;0
201;2;70;1.85;0
202;2;71;2.11;0
203;2;71;2.11;0
204;3;72;1.81;0
205;3;72;1.84;0
206;3;72;1.86;0
207;3;72;1.93;0
208;3;72;1.95;0
209;3;72;1.81;0
210;3;72;1.95;0
211;3;72;2.01;0
212;4;73;1.75;0
213;4;73;1.82;0
214;4;73;1.83;0
215;4;73;1.88;0
216;4;74;1.74;0
217;4;74;1.93;0
218;4;74;1.93;0
219;4;74;1.93;0
220;4;74;2.04;0
221;4;75;2.04;0
222;5;76;2.15;0
223;5;76;2.04;1
224;6;77;2.04;0
225;6;77;2.07;0
226;6;77;2.11;0
227;7;78;1.9;0
228;7;78;2.03;0
229;7;78;2.09;0
230;7;78;2.1;0
231;7;78;2.18;0
232;7;79;2.04;0
233;7;79;2.07;0
234;7;79;2.11;0
235;7;79;2.15;0
236;7;79;2;1
237;7;79;2.06;0
238;7;79;2.07;0
239;7;79;2.23;0
240;7;79;2.25;0
241;7;79;2.27;1
242;7;79;2.28;1
243;7;79;1.96;0
244;7;79;2;0
245;7;79;2.07;0
246;7;79;2.07;0
247;7;80;1.96;0
248;7;80;2.07;0
249;7;80;2.07;0
250;7;80;1.93;0
251;7;80;1.96;0
252;7;80;2.19;0
253;7;80;2.11;0
254;7;80;2.18;0
255;8;81;1.92;0
256;8;81;1.9;0
257;8;81;1.98;0
258;8;81;2;0
259;8;81;2.05;0
260;8;81;2.09;0
261;8;81;2.1;1
262;8;81;2.12;0
263;8;81;2.02;0
264;8;81;2.06;0
265;8;81;2.1;0
266;8;81;1.95;0
267;8;81;2.03;0
268;8;81;2.07;0
269;8;81;2.08;0
270;8;81;1.89;0
271;8;82;1.98;0
272;8;82;2;0
273;8;82;1.94;0
274;8;82;2.01;0
275;8;82;1.98;0
276;8;82;1.99;0
277;8;82;2.13;0
278;8;83;1.95;0
279;8;83;1.99;0
280;8;83;2.05;0
281;8;83;2.09;0
282;8;83;2.11;0
283;8;83;2.14;0
284;8;83;2.14;0
285;8;83;2.18;0
286;8;83;2.07;0
287;8;83;2.25;0
288;8;83;1.87;0
289;8;83;1.95;0
290;8;83;2.04;0
291;8;83;2.06;0
292;8;83;2.1;0
293;8;83;2.16;0
294;9;84;1.79;0
295;9;84;1.86;0
296;9;84;1.85;0
297;9;85;1.77;0
298;9;85;1.84;0
299;10;86;2.15;0
300;10;86;2.22;0
301;11;87;1.92;0
302;11;87;2.04;0
303;11;87;1.93;0
304;11;87;1.93;0
305;11;87;1.96;0
306;11;87;2.04;0
307;11;87;2.15;1
308;11;88;1.81;0
309;11;88;1.96;0
310;11;88;1.96;0
311;11;88;1.96;0
312;11;88;2;0
313;11;88;2.07;0
314;11;89;1.73;0
315;11;89;1.85;0
316;11;89;1.85;0
317;11;89;1.89;0
318;11;89;1.91;0
319;11;89;2.01;0
320;11;89;1.67;0
321;11;89;1.85;0
322;12;90;2.07;1
323;12;90;2.12;1
324;12;90;2.14;0
325;13;91;1.86;0
326;13;91;1.93;0
327;13;91;1.96;0
328;13;91;2;0
329;13;91;1.86;0
330;13;91;1.89;0
331;13;91;1.93;0
332;13;91;2.07;1
333;13;91;2.11;1
334;13;91;1.9;0
335;13;91;1.93;0
336;13;91;1.98;0
337;13;91;1.98;0
338;13;91;2.01;1
339;13;91;2.04;1
340;13;91;1.9;0
341;13;91;2.02;1
342;13;92;1.88;0
343;13;92;2.08;0
344;13;92;1.93;0
345;13;92;2.04;0
346;13;92;2.22;1
347;13;92;1.96;0
348;13;92;2.04;0
349;13;92;2.13;0
350;13;92;2.15;0
351;13;92;2.19;1
352;13;92;2.19;1
353;14;93;1.96;0
354;14;93;2.15;0
355;14;94;1.78;0
356;14;94;1.83;0
357;14;94;1.92;0
358;14;95;2.03;0
359;14;95;2.1;0
360;14;95;2.11;0
361;14;95;2.14;0
362;14;95;2.07;0
363;14;96;2.04;0
364;14;96;2.19;0
365;15;97;2.01;0
366;15;97;2.12;1
367;15;97;2.21;1
368;15;98;1.59;0
369;15;98;2.03;0
370;15;98;2.06;0
371;15;99;1.91;0
372;15;100;2;0
373;16;101;1.83;0
374;16;101;1.95;0
375;16;101;1.79;0
376;16;101;1.88;0
377;16;101;1.9;0
378;16;101;2.04;0
379;16;101;1.89;0
380;16;101;2;0
381;16;101;2.04;0
382;16;102;2;0
383;16;102;2.19;0
384;16;102;2.22;0
385;16;102;2.26;0
386;16;102;1.76;0
387;16;102;1.94;0
388;16;102;1.97;0
389;16;102;2.03;0
390;16;102;2.05;0
391;16;102;2.05;0
392;16;102;2.13;0
393;16;102;1.98;0
394;16;102;2.05;0
395;16;102;1.86;0
396;16;102;1.98;0
397;16;102;2.04;0
398;16;102;2.09;0
399;16;102;2.18;0
400;17;103;2.11;0
401;17;103;2.25;0
402;17;103;2.25;1
403;17;103;2.29;1
404;17;103;2.29;1
405;17;103;2.36;1
406;17;103;2.14;0
407;17;103;2.18;0
408;17;103;2.18;0
409;17;103;2.21;0
410;17;103;2.25;1
411;17;103;2.29;1
412;17;103;2.29;1
413;17;103;2.39;1
414;17;103;2.05;0
415;17;103;2.15;1
416;17;103;2.18;1
417;17;103;2.23;1
418;17;103;2.24;1
419;17;103;2.12;0
420;18;104;2.03;0
421;18;104;2.04;0
422;18;104;2.04;0
423;18;104;2.08;0
424;18;104;2.09;1
425;18;104;1.95;0
426;18;104;1.98;0
427;18;104;2.01;0
428;18;104;2.06;0
429;18;105;1.72;0
430;18;105;1.8;0
431;18;105;1.88;0
432;18;105;1.99;0
433;18;105;2.04;0
434;18;105;1.74;0
435;18;105;1.85;0
436;18;105;1.93;0
437;18;105;1.96;0
438;18;105;1.96;0
439;18;105;2.07;0
440;18;105;2.07;0
441;18;105;1.86;0
442;18;105;1.93;0
