"ID";"Sire";"Dam";"Pronotum";"Morph"
253;1;87;1.97;0
254;1;87;1.98;0
255;1;87;2;0
256;1;87;2.02;0
257;1;87;2.05;0
258;1;88;1.93;0
259;2;89;1.89;0
260;2;89;1.93;0
261;2;89;1.75;0
262;2;89;1.79;0
263;2;89;1.89;0
264;2;89;1.89;0
265;2;89;1.93;0
266;2;89;1.96;0
267;2;89;1.85;0
268;2;89;1.96;0
269;2;90;2.11;0
270;2;90;2.18;0
271;3;91;2.19;0
272;3;91;2.26;0
273;4;92;1.77;0
274;4;93;1.89;0
275;4;93;2;0
276;4;93;2.04;0
277;5;94;2;0
278;5;94;2.04;0
279;5;94;2.07;0
280;5;94;1.78;0
281;5;94;1.78;0
282;5;94;1.83;0
283;5;94;1.85;0
284;5;94;1.88;0
285;5;94;1.9;0
286;5;94;1.93;0
287;5;94;2.14;0
288;6;95;1.96;0
289;6;95;2.01;0
290;6;95;2.02;0
291;6;95;2.08;0
292;6;95;1.95;0
293;6;95;2.08;1
294;6;95;2.13;1
295;6;95;2.14;1
296;6;95;2.21;0
297;6;96;2.14;0
298;7;97;2.18;0
299;7;97;2.21;0
300;7;98;1.75;0
301;7;98;1.86;0
302;7;98;1.92;0
303;7;98;1.96;0
304;7;98;1.67;0
305;7;98;1.9;0
306;7;98;1.96;0
307;7;98;1.96;0
308;7;98;2.02;0
309;7;98;1.82;0
310;8;99;2.04;0
311;8;100;1.93;0
312;8;100;2.09;0
313;8;100;1.93;0
314;8;100;1.93;0
315;8;100;1.96;0
316;8;100;2;0
317;9;101;1.96;0
318;9;101;1.97;1
319;9;101;1.99;0
320;9;101;2;0
321;9;101;2.06;0
322;9;101;2.1;0
323;9;101;2.14;0
324;9;101;2.15;0
325;9;101;2.23;1
326;9;101;1.93;0
327;9;101;2.11;0
328;9;101;2.29;0
329;9;101;2.03;0
330;9;101;2.18;0
331;9;101;2.18;1
332;10;102;1.93;0
333;10;102;1.96;0
334;10;102;2.07;0
335;10;102;2.11;0
336;10;102;2.15;0
337;10;102;2.15;0
338;10;102;2.15;0
339;10;102;2.15;1
340;10;102;2.15;1
341;10;102;2.19;0
342;10;102;2.26;0
343;10;102;2.14;1
344;10;102;2.14;1
345;10;102;2.18;1
346;10;102;2.21;1
347;10;102;2.21;1
348;10;102;2.29;1
349;10;103;1.89;0
350;10;103;1.93;0
351;10;103;1.93;0
352;10;103;1.93;0
353;10;103;1.67;0
354;10;103;1.93;0
355;10;103;1.96;0
356;10;103;1.89;0
357;10;103;1.93;0
358;10;103;1.96;0
359;10;103;1.96;0
360;10;103;2.11;0
361;10;104;1.85;0
362;10;104;1.85;0
363;10;104;1.96;0
364;10;104;1.96;0
365;10;104;2.04;0
366;10;104;1.96;0
367;10;104;1.96;0
368;10;104;2;0
369;10;104;2.22;0
370;11;105;1.91;0
371;11;105;2.02;0
372;11;105;2.17;1
373;11;106;1.96;0
374;12;107;1.81;0
375;12;107;1.99;0
376;12;108;2.04;0
377;12;108;2.07;1
378;12;108;2.11;0
379;12;108;1.83;0
380;12;108;1.86;0
381;12;109;1.71;0
382;12;109;1.85;0
383;13;110;2.08;0
384;13;110;2.12;0
385;13;110;1.85;0
386;14;111;1.78;0
387;15;112;1.77;0
388;15;112;1.81;0
389;15;112;1.94;0
390;15;112;1.85;0
391;15;112;2;0
392;16;113;2.04;0
393;16;113;2.11;0
394;16;113;2.11;0
395;16;114;2.04;0
396;16;114;2.07;0
397;16;114;2.11;0
398;17;115;1.89;0
399;17;115;2.11;0
400;17;115;2.15;0
401;17;116;1.96;0
402;18;117;1.87;0
403;18;117;2;0
404;18;117;2;0
405;18;118;1.75;0
406;19;119;2.04;0
407;19;120;1.75;0
408;19;120;1.77;0
409;19;120;2.01;0
410;20;121;1.87;0
411;20;122;2.07;0
412;20;122;2.21;1
413;20;122;2.25;0
414;20;122;2.25;0
415;20;122;2.25;1
416;20;122;1.86;0
417;20;122;1.9;0
418;20;122;1.96;0
419;20;122;1.97;0
420;20;122;1.98;1
421;20;122;2.04;0
422;20;123;2.14;1
423;20;123;2.18;1
424;20;123;2.21;1
425;20;123;2.04;0
426;20;123;2.04;0
427;20;123;2.07;0
428;20;123;2.07;0
429;20;123;2.11;0
430;20;123;2.11;1
431;20;123;2.14;1
432;20;124;1.82;0
433;20;124;2.01;0
434;20;124;2.09;1
435;20;124;2.11;1
436;20;124;2.18;0
437;20;124;2.03;0
438;20;124;2.08;0
439;20;124;2.1;1
440;20;124;2.21;0
441;20;124;2.04;0
442;20;124;2.22;1
443;21;125;2;0
444;21;125;2.07;0
445;21;125;2.14;0
446;21;126;2.04;0
447;21;126;2.1;0
448;21;127;2.03;0
449;21;127;2.08;0
450;21;128;1.65;0
451;21;128;1.85;0
452;22;129;1.78;0
453;22;129;1.85;0
454;22;129;1.96;0
455;22;129;1.66;0
456;22;129;1.76;0
457;22;129;1.81;0
458;22;129;1.83;0
459;22;129;1.86;0
460;22;129;1.89;0
461;22;129;1.96;0
462;22;129;2;0
463;22;129;2.07;0
464;22;129;1.73;0
465;23;130;1.83;0
466;23;130;1.94;0
467;23;130;1.95;0
468;23;130;1.96;0
469;23;130;2;0
470;24;131;1.85;0
471;24;131;1.85;0
472;24;131;1.89;0
473;24;132;1.96;0
474;24;132;2.05;0
475;24;132;2.08;0
476;24;132;2.1;0
477;24;132;2.11;0
478;24;133;2.16;0
479;25;134;1.85;0
480;25;134;2.02;0
481;25;134;1.93;0
482;25;134;2.07;0
483;25;134;2.07;0
484;25;134;2.15;0
485;26;135;1.93;0
486;26;135;1.96;0
487;26;136;2.12;0
488;26;136;2.03;0
489;26;136;2.04;0
490;26;136;2.06;0
491;26;136;2.25;0
492;26;136;2.29;0
493;27;137;2.19;1
494;27;137;2.3;1
495;27;137;2.37;1
496;27;137;1.89;0
497;27;137;1.96;0
498;27;137;2;0
499;27;137;2;0
500;28;138;1.82;0
501;28;138;1.9;0
502;28;138;1.92;0
503;28;138;2.05;1
504;28;138;2.06;0
505;28;138;2.07;0
506;28;139;1.96;0
507;28;139;2.05;0
508;28;139;2.1;1
509;28;139;2.13;0
510;28;139;2.15;0
511;29;140;1.89;0
512;29;140;1.89;0
513;29;140;2;0
514;29;140;2.11;0
515;29;140;2.19;0
516;29;140;1.88;0
517;29;140;1.98;0
518;29;140;2;0
519;29;140;2.03;0
520;29;140;2.04;0
521;29;140;2.14;0
522;29;140;2.14;1
523;29;140;2.25;1
524;29;140;1.96;0
525;29;140;2.07;0
526;29;140;1.96;0
527;29;140;2.04;0
