"Migrant";"Size";"Site"
0;78;22
1;78;14
1;89;4
1;85;29
0;68;12
1;89;5
1;97;3
0;72;6
0;77;30
1;100;24
1;87;30
0;70;7
0;77;11
1;91;32
1;88;14
0;83;29
1;93;16
1;91;16
0;71;8
1;86;27
1;87;36
1;82;11
1;94;32
1;96;2
0;73;30
0;67;10
1;99;16
0;59;12
0;73;12
1;77;4
0;78;31
1;98;27
0;65;19
0;69;17
1;84;14
1;101;16
0;73;4
0;81;10
1;79;20
1;78;29
0;83;17
0;73;15
1;98;16
0;61;21
0;77;9
1;120;26
0;83;31
1;78;11
0;83;17
0;78;16
0;77;16
1;99;28
1;85;10
1;90;30
1;94;2
0;67;32
1;89;32
1;83;30
1;93;30
1;94;13
0;68;29
0;66;19
0;65;29
0;69;16
1;83;13
0;74;4
1;98;16
0;75;14
1;90;29
1;77;30
0;75;34
0;73;15
1;87;30
0;75;21
1;96;32
1;81;13
1;81;35
0;74;15
0;62;21
0;77;29
1;82;12
0;83;16
0;72;17
0;77;18
0;80;18
0;72;27
0;62;12
1;89;31
0;81;34
0;66;13
1;87;12
1;83;13
0;62;4
0;90;17
1;91;19
0;74;28
0;69;9
0;80;18
0;86;18
0;90;39
1;80;37
0;75;39
1;74;37
0;78;39
